index,term,category
1,Device Metadata,group
1.01,  Datasheet,
1.02,  Device Name,
1.03,  Firmware Version,
1.04,  Model Number,
1.05,  Part Number,
1.06,  Product Name,
1.07,  Revision,
2,Device Function,group
2.01,  Application,
2.02,  Feature,
2.03,  Function,
2.04,  Target Use,
2.05,  Use Case,
3,Power System,group
3.01,  Consumption Current,
3.02,  ICC,
3.03,  IIN,
3.04,  Input Voltage,
3.05,  IOUT,
3.06,  Operating Current,
3.07,  Output Voltage,
3.08,  Power Consumption,
3.09,  Power Supply Current,
3.10,  Power Supply Voltage,
3.11,  Supply Current,
3.12,  Supply Voltage,
3.13,  V i,
3.14,  Vcc,
3.15,  VDD,
3.16,  VIN,
3.17,  VOUT,
4,Electrical Performance,group
4.01,  Accuracy,
4.02,  average slope,
4.03,  Bandwidth,
4.04,  Gain,
4.05,  Linearity,
4.06,  Noise,
4.07,  Offset,
4.08,  Resolution,
4.09,  Sensitivity,
5,RF Wireless,group
5.01,  2.4 GHz,
5.02,  5 GHz,
5.03,  Antenna,
5.04,  BLE,
5.05,  Bluetooth,
5.06,  ISM Band,
5.07,  LoRa,
5.08,  LoRaWAN,
5.09,  Radio,
5.10,  RF,
5.11,  RSSI,
5.12,  Sub-GHz,
5.13,  Wi-Fi,
5.14,  ZigBee,
6,Wired Interface,group
6.01,  CAN,
6.02,  CSA,
6.03,  EtherCAT,
6.04,  GPIO,
6.05,  I2C,
6.06,  Modbus,
6.07,  PWM,
6.08,  RS-232,
6.09,  RS-485,
6.10,  SPI,
6.11,  UART,
6.12,  USB,
7,Network Connectivity,group
7.01,  CoAP,
7.02,  Ethernet,
7.03,  HTTP,
7.04,  IP Address,
7.05,  MAC Address,
7.06,  MQTT,
7.07,  Network Protocol,
7.08,  TCP/IP,
7.09,  UDP,
8,Timing Clock,group
8.01,  2048 SPS,
8.02,  Clock,
8.03,  Frequency,
8.04,  Jitter,
8.05,  Oscillator,
8.06,  PLL,
8.07,  ppm,
9,Sensors,group
9.01,  Accelerometer,
9.02,  Gyroscope,
9.03,  Humidity Sensor,
9.04,  Magnetometer,
9.05,  Pressure Sensor,
9.06,  Sensing Range,
9.07,  Sensitivity,
9.08,  Temperature Sensor,
10,Actuators,group
10.01,  Actuator,
10.02,  Driver,
10.03,  Motor,
10.04,  Relay,
10.05,  Servo,
10.06,  Valve,
11,Firmware Software,group
11.01,  API,
11.02,  Bootloader,
11.03,  Firmware,
11.04,  Library,
11.05,  SDK,
11.06,  Software,
11.07,  Update,
12,Storage Memory,group
12.01,  Capacity,
12.02,  EEPROM,
12.03,  Flash,
12.04,  Memory,
12.05,  RAM,
12.06,  ROM,
12.07,  SD Card,
12.08,  Storage,
13,Security Privacy,group
13.01,  Authentication,
13.02,  Encryption,
13.03,  Key Management,
13.04,  Secure Boot,
13.05,  Security,
13.06,  SSL,
13.07,  TLS,
14,Environmental Reliability,group
14.01,  ANSI,
14.02,  EMC,
14.03,  ESD,
14.04,  Humidity,
14.05,  Ingress Protection,
14.06,  IP Rating,
14.07,  Operating Temperature,
14.08,  Reliability,
14.09,  Storage Temperature,
15,Mechanical Enclosure,group
15.01,  Dimensions,
15.02,  Enclosure,
15.03,  Form Factor,
15.04,  Housing,
15.05,  Mounting,
15.06,  Weight,
16,Certification Standard,group
16.01,  1OS,
16.02,  CE,
16.03,  Certification,
16.04,  Compliance,
16.05,  FCC,
16.06,  IEC,
16.07,  ISO,
16.08,  JIS,
16.09,  RoHS,
16.10,  TS,
16.11,  UL,
17,Testing Quality,group
17.01,  Inspection,
17.02,  QA,
17.03,  Quality,
17.04,  Testing,
17.05,  Validation,
18,Diagnostics Maintenance,group
18.01,  Diagnostic,
18.02,  Health Check,
18.03,  Log,
18.04,  Maintenance,
18.05,  Monitoring,
18.06,  Self-Test,
18.07,  Status,
